GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Music Shop,com.epam.brest.summer.courses2019,Order,113,0,0,0,30,0,15,0,15,0
Music Shop,com.epam.brest.summer.courses2019,Item,108,39,12,0,15,13,12,7,6,7
